item,itemLabel,itemDescription,twitterName,twitterID,twitterFollowers,sitelinks
http://www.wikidata.org/entity/Q307918,Özlem Bulut,Turkish opera singer and singer,ozlembulutband,2339983480,172,1
http://www.wikidata.org/entity/Q307920,Özlem Demirel,Turkish born German politician,oezlemademirel,406893885,4765,8
http://www.wikidata.org/entity/Q310052,Joe Strummer,"British singer, musician and songwriter (1952-2002)",JoeStrummer,880011856223535104,,44
http://www.wikidata.org/entity/Q313923,Nouriel Roubini,American economist,Nouriel,19224439,503604,38
http://www.wikidata.org/entity/Q313923,Nouriel Roubini,American economist,Nouriel,19224439,448141,38
http://www.wikidata.org/entity/Q317704,Tchéky Karyo,French actor,tchekykaryo,164165863,,31
http://www.wikidata.org/entity/Q317853,Abdüllatif Şener,Turkish politician,senerabdullatif,217133632,,8
http://www.wikidata.org/entity/Q319907,Can Bonomo,Turkish rock singer,canbonomo,109537107,875079,33
http://www.wikidata.org/entity/Q326849,Rafet El Roman,Turkish musician,elromanrafet,359603899,96197,9
http://www.wikidata.org/entity/Q328247,Acun Ilıcalı,"Turkish television personality, producer, actor and sport journalist",acunilicali,342562305,4856013,14
http://www.wikidata.org/entity/Q328878,Levent Yüksel,Turkish singer,leventyuksel,http://www.wikidata.org/.well-known/genid/ee0df2e8abc8b375392bc7ef04c1152c,,9
http://www.wikidata.org/entity/Q331711,Mustafa Sandal,Turkish singer-songwriter,mustinetnet,155354415,1094809,33
http://www.wikidata.org/entity/Q334814,Ümit Besen,Turkish singer,umitbesen,93379868,4991,6
http://www.wikidata.org/entity/Q334814,Ümit Besen,Turkish singer,umitbesen,93379868,4581,6
http://www.wikidata.org/entity/Q337523,Kıraç,Turkish musician,alitufankirac,141736545,161351,7
http://www.wikidata.org/entity/Q338148,İlker Başbuğ,Turkish general,ilkerbasbugcom,502756526,1070431,16
http://www.wikidata.org/entity/Q342864,Cem Uzan,Turkish businessman,CemCUzan,1015228375,40397,8
http://www.wikidata.org/entity/Q343274,İbrahim Erkal,"Turkish singer, songwriter and actor",ibrahimerkal_,2780483516,7486,6
http://www.wikidata.org/entity/Q343394,İbrahim Tatlıses,Turkish musician,imparatoribo,184187250,509969,29
http://www.wikidata.org/entity/Q343585,İlhan Cihaner,Turkish lawyer and politician,ilhancihaner,187641987,371020,5
http://www.wikidata.org/entity/Q343746,İlkan Karaman,Turkish basketball player,ilknkrmn,118751497,20548,10
http://www.wikidata.org/entity/Q343766,İlkay Akkaya,Turkish singer,kizilirmakilkay,257941615,299874,4
http://www.wikidata.org/entity/Q344368,İzel,Turkish singer,izelcelikozz,http://www.wikidata.org/.well-known/genid/06136780e870b13cafbe1f6664fb0c3a,,17
